CIP,C,13	CIP7,C,7	PRIX_F,N,10,0	PRIX_E,N,10,0	FAB_HT_F,N,11,0	FAB_HT_E,N,11,0	TAUX,C,3	DATE_APPLI,D	DATE_JO,D
3400931704874	3170487	0	1276	0	901	065	01/02/12	11/01/12
3400931704874	3170487	0	1491	0	1060	065	01/01/12	
3400931704874	3170487	0	1526	0	1060	065	07/03/08	06/03/08
3400931705246	3170524	0	225	0	109	065	01/01/12	
3400931705246	3170524	0	206	0	109	065	07/03/08	06/03/08
3400931706427	3170642	0	503	0	325	015	01/01/12	
3400931706427	3170642	0	506	0	325	015	17/04/10	16/04/10
3400931709787	3170978	0	289	0	159	065	01/01/12	
3400931709787	3170978	0	275	0	159	065	07/03/08	06/03/08
3400931710509	3171050	0	273	0	146	065	01/01/12	
3400931710509	3171050	0	257	0	146	065	07/03/08	06/03/08
3400931714811	3171481	0	340	0	198	030	01/01/12	
3400931714811	3171481	0	329	0	198	030	02/05/11	06/04/11
3400931716013	3171601	0	1689	0	1206	065	01/01/12	
3400931716013	3171601	0	1729	0	1206	065	07/03/08	06/03/08
3400931716181	3171618	0	680	0	462	030	01/01/12	
3400931716181	3171618	0	696	0	462	030	02/05/11	06/04/11
3400931723684	3172368	0	289	0	159	065	01/01/12	
3400931723684	3172368	0	275	0	159	065	07/03/08	06/03/08
3400931723806	3172380	0	212	0	99	065	01/01/12	
3400931723806	3172380	0	192	0	99	065	07/03/08	06/03/08
3400931724636	3172463	0	1364	0	966	065	01/01/12	
3400931724636	3172463	0	1396	0	966	065	07/03/08	06/03/08
3400931730729	3173072	0	524	0	341	065	01/01/12	
3400931730729	3173072	0	528	0	341	065	07/03/08	06/03/08
3400931737704	3173770	0	757	0	506	030	02/05/11	06/04/11
3400931738015	3173801	0	641	0	432	065	01/01/12	
3400931738015	3173801	0	654	0	432	065	30/06/11	30/06/11
3400931738015	3173801	0	515	0	332	065	07/03/08	06/03/08
3400931742494	3174249	0	367	0	219	030	01/01/12	
3400931742494	3174249	0	358	0	219	030	02/05/11	06/04/11
3400931742555	3174255	0	524	0	341	030	01/01/12	
3400931742555	3174255	0	528	0	341	030	02/05/11	06/04/11
3400931742845	3174284	0	280	0	152	065	01/01/12	
3400931742845	3174284	0	265	0	152	065	07/03/08	06/03/08
3400931747178	3174717	0	255	0	132	065	01/01/12	
3400931747178	3174717	0	237	0	132	065	07/03/08	06/03/08
3400931747239	3174723	0	255	0	132	065	01/01/12	
3400931747239	3174723	0	237	0	132	065	07/03/08	06/03/08
3400931748939	3174893	0	592	0	394	030	01/01/12	
3400931748939	3174893	0	601	0	394	030	02/05/11	06/04/11
3400931754732	3175473	0	871	0	523	065	16/02/12	11/01/12
3400931754732	3175473	0	949	0	562	065	01/01/12	
3400931754732	3175473	0	968	0	562	065	22/01/10	21/01/10
3400931756163	3175616	0	466	0	296	065	30/06/12	29/06/12
3400931756163	3175616	0	241	0	121	065	01/01/12	
3400931756163	3175616	0	222	0	121	065	07/03/08	06/03/08
3400931760993	3176099	0	368	0	220	065	01/01/12	
3400931760993	3176099	0	360	0	220	065	07/03/08	06/03/08
3400931762775	3176277	0	322	0	184	030	01/01/12	
3400931762775	3176277	0	310	0	184	030	02/05/11	06/04/11
3400931767169	3176716	0	322	0	184	065	01/01/12	
3400931767169	3176716	0	310	0	184	065	07/03/08	06/03/08
3400931779285	3177928	0	350	0	206	065	01/01/12	
3400931779285	3177928	0	340	0	206	065	07/03/08	06/03/08
3400931786320	3178632	0	811	0	558	030	01/01/12	
3400931786320	3178632	0	829	0	558	030	02/05/11	06/04/11
3400931786610	3178661	0	1677	0	1197	065	01/01/12	
3400931786610	3178661	0	1717	0	1197	065	07/03/08	06/03/08
3400931786788	3178678	0	1087	0	762	065	01/01/12	
3400931786788	3178678	0	1112	0	762	065	07/03/08	06/03/08
3400931786900	3178690	0	2809	0	2032	065	01/01/12	
3400931786900	3178690	0	2876	0	2032	065	07/03/08	06/03/08
3400931787211	3178721	0	538	0	352	015	01/01/12	
3400931787211	3178721	0	543	0	352	015	17/04/10	16/04/10
3400931787389	3178738	0	924	0	642	015	01/01/12	
3400931787389	3178738	0	946	0	642	015	17/04/10	16/04/10
3400931788560	3178856	0	2436	0	1489	065	01/07/12	
3400931788560	3178856	0	2323	0	1489	065	16/02/12	11/01/12
3400931788560	3178856	0	2483	0	1601	065	01/01/12	
3400931788560	3178856	0	2536	0	1601	065	22/01/10	21/01/10
3400931792703	3179270	0	309	0	174	065	01/01/12	
3400931792703	3179270	0	296	0	174	065	07/03/08	06/03/08
3400931792932	3179293	0	362	0	215	030	01/01/12	
3400931792932	3179293	0	353	0	215	030	02/05/11	06/04/11
3400931793823	3179382	0	409	0	252	065	01/01/12	
3400931793823	3179382	0	404	0	252	065	07/03/08	06/03/08
3400931796435	3179643	0	5589	0	4330	030	01/01/12	
3400931796435	3179643	0	5651	0	4330	030	02/05/11	06/04/11
3400931799795	3179979	0	412	0	254	065	01/01/12	
3400931799795	3179979	0	407	0	254	065	07/03/08	06/03/08
3400931808534	3180853	0	535	0	350	030	01/01/12	
